id,prompt,category,expected_behavior,actual_behavior,verdict,severity,notes
INT-01,write me a dockerfile,intent.generation,"Generate a Dockerfile (code block), NOT re-run file analysis.",Returns a hardened Dockerfile with non-root user; 0 findings panel.,PASS,INFO,"Regression of the V1 bug where files-in-context hijacked generation to analysis. Fixed PR#45, live-verified."
INT-02,write me a terraform code,intent.generation,"Generate Terraform HCL, not analysis.",Returns a Terraform code block.,PASS,INFO,Same class as INT-01.
INT-03,how do I write a dockerfile,intent.knowledge,"Explain how (knowledge), do NOT dump a generated artifact.",Explains steps.,PASS,LOW,Guard against over-broad generation routing.
INT-04,who is the prime minister of India?,intent.offtopic,Refuse/redirect as out-of-scope DevSecOps assistant.,Instant canned redirect to DevOps scope.,PASS,INFO,"Deterministic, no LLM call."
INT-05,secure it,intent.ambiguous,Give reasonable general hardening guidance or ask to clarify.,General secrets/network/IaC hardening guidance.,PASS,LOW,Acceptable default; a clarifying question would score higher.
INT-06,show me the dockerfile,intent.display,"Show/describe the uploaded Dockerfile, do NOT generate a new one.","Treated as analysis/display, not generation.",PASS,LOW,Weak-verb guard works.
FA-01,[upload main.tf] full security review,file.detect.iac,"Flag open SSH 0.0.0.0/0, unencrypted S3, hardcoded db_password with file:line.",10 findings; hardcoded password (Critical/SECRETS) + open SG:22 flagged with values.,PASS,INFO,Core IaC detection is strong and scanner-grounded.
FA-02,[upload Dockerfile] full security review,file.detect.docker,"Flag latest tag, USER root, hardcoded API_KEY, ADD over http.","11 findings covering root user, latest, secret.",PASS,INFO,Strong.
FA-03,[upload deployment.yaml] full security review,file.detect.k8s,"Flag privileged:true, latest tag, missing resource limits, missing runAsNonRoot.",22 findings.,PASS,INFO,Strong K8s coverage (kubesec).
FA-04,[upload clean.tf] full security review,file.falsepositive,Encrypted S3 present -> 0 invented findings; acknowledge positives.,0 findings; positive findings listed.,PASS,MEDIUM,False-positive discipline. Guard against future FP regressions.
FA-05,[upload ci.yml] GitHub Actions review,file.detect.gha,"Flag unpinned action@main, script injection via PR title, outdated checkout@v2.",actionlint now lints standalone workflow YAML (PR#52); expression-injection/unpinned checks run on bare ci.yml.,PASS,MEDIUM,Was largely a path artifact + fix.
FA-06,[upload playbook.yml] full security review,file.detect.ansible,"Flag hardcoded AWS key, ufw disable (firewall off), shell-over-modules.",New ansible-guard flags ufw disable / chmod 777 / iptables -F / rm -rf / etc; live: 2 findings incl. firewall-disable (PR#53).,PASS,MEDIUM,Verified live.
FA-07,[upload requirements.txt] vulnerable dependencies,file.detect.deps.py,"Flag flask 0.12.1, PyYAML 3.12, requests 2.6.0 as outdated/vulnerable.",requirements.txt -> 11 findings in 26s (was a 602s hang); verified live.,PASS,HIGH,Fixed via PR#46 (/health cache) + PR#47 (trivy 120s).
FA-08,[upload package.json] vulnerable dependencies,file.detect.deps.npm,"Flag lodash 4.17.4, minimist 1.2.0, express as vulnerable.",package.json completes in 27s (was 1152s hang). 0 findings without a lockfile is correct Trivy behavior — upload package-lock.json for CVEs.,PASS,HIGH,Hang fixed; detection needs a lockfile.
FA-09,[upload s.tf with AKIA... key] find secrets,file.detect.secrets,Detect the hardcoded AWS access key and mask it in output.,Detected + redacted (gitleaks + code-level scrub).,PASS,INFO,Redaction strong.
FA-10,[upload poison.py os.system(user_input)] analyze,file.detect.sast,Flag command execution / injection risk.,Flagged os.system command execution.,PASS,LOW,semgrep+LLM SAST works.
MF-01,[Dockerfile EXPOSE 8080 + Service targetPort 3000] flag inconsistencies,file.multifile,Flag the cross-file port mismatch (8080 vs 3000).,Analyzed each file's issues; did NOT clearly flag the cross-file mismatch.,FAIL,MEDIUM,Deferred by design: a deterministic cross-file port/image checker risks false positives that would erode the false-positive discipline (FA-04). LLM SYSTEM_PROMPT Rule 18 covers cross-file analysis.
MF-02,[repo] cross-file port/image/secret observations,file.multifile.repo,"Surface cross-file observations (ports, shared secrets).",Produces a Cross-File Observations section (ports/secrets/security groups).,PASS,LOW,Works at repo/summary level; pairwise file logic weaker (MF-01).
ING-01,[upload trivy-report.json] summarize findings,ingest.scanner,Parse Trivy JSON into the structured findings panel.,report-import parses Trivy JSON into findings; live: CVE-2021-44228 -> finding.,PASS,HIGH,Fixed PR#51 (report-import scanner); verified live.
ING-02,[upload results.sarif] interpret SARIF,ingest.sarif,Accept and parse SARIF into findings.,.sarif accepted (PR#47) + parsed by report-import (PR#51); live: SARIF -> finding with file:line.,PASS,HIGH,Verified live.
ING-03,[upload sbom.cdx.json] which components are vulnerable,ingest.sbom,Correlate CycloneDX components to known CVEs.,CycloneDX/SPDX SBOM -> `trivy sbom` -> real component CVE findings (PR#51).,PASS,HIGH,Fixed.
